Country,Date,Confirmed
Italy,4/29/2020,203591
Italy,4/30/2020,205463
Italy,5/1/2020,207428
Italy,,1103461
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
Italy,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
US,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136Apologies for the confusion. Here is the Confirmed column extracted from the dataset:
,,386
,,538
,,599
,,649
,,651
,,655
,,657
,,662
,,672
,,675
,,678
,,679
,,684
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,688
,,689
,,785
,,913
,,1412
,,1784
,,2281
,,2876
,,3661
,,4499
,,5423
,,6507
,,7699
,,9086
,,10342
,,11357
,,12265
,,13112
,,13963
,,14955
,,15750
,,16509
,,17163
,,17848
,,18404
,,18876
,,19147
,,19396
,,19624
,,19748
,,19805
,,19853
,,19891
,,19921
,,19924
,,19949
,,19980
,,20018
,,20043
,,20065
,,20079
,,20091
,,20098
,,20111
,,20115
,,20119
,,20125
,,20129
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
,,20136
